team,offense,defense,tempo,luck,margin,schedule_margin,opponent_offense,opponent_defense,non_conference,conf,year
Chattanooga,103.7,101.3,69.2,-.012,2.36,1.23,103.8,102.6,4.69,SC,2002
Miami OH,105.4,103.3,60.5,-.004,2.15,4.99,107.9,102.9,8.77,MAC,2002
Illinois St,103.1,100.9,66.1,.072,2.14,2.03,105.6,103.5,5.00,MVC,2002
Arkansas St,105.2,103.1,64.2,-.135,2.13,-1.64,102.0,103.6,-3.55,SB,2002
Virginia Tech,104.3,102.2,67.3,-.098,2.10,4.00,104.3,100.3,-5.08,BE,2002
Oakland,107.6,105.7,70.3,.033,1.91,-0.10,104.4,104.5,3.38,MCon,2002
Weber St,106.1,104.4,68.1,-.011,1.76,-2.95,101.5,104.4,2.81,BSky,2002
Princeton,103.7,102.2,57.7,.023,1.47,-0.74,102.0,102.7,4.72,Ivy,2002
Murray St,106.8,105.5,69.2,.017,1.35,-1.74,103.4,105.1,3.98,OVC,2002
La Salle,103.9,102.6,66.0,.034,1.32,3.26,104.7,101.5,1.96,A10,2002
Yale,102.9,101.8,73.1,.040,1.09,-6.19,99.8,106.0,-10.05,Ivy,2002
UCF,104.4,103.4,69.7,-.080,0.98,-5.92,101.9,107.9,-2.68,ASun,2002
Central Conn,100.6,99.7,64.0,.137,0.93,-11.95,97.6,109.5,-4.98,NEC,2002
Citadel,105.3,104.6,67.0,-.027,0.66,-2.03,100.8,102.8,-6.40,SC,2002
Wichita St,107.8,107.2,66.9,-.007,0.61,-0.19,103.8,104.0,-1.21,MVC,2002
Toledo,99.1,98.7,66.2,.068,0.40,1.51,106.5,105.0,5.12,MAC,2002
Rider,100.2,99.9,68.5,-.033,0.35,-6.00,99.4,105.4,-5.01,MAAC,2002
Delaware,102.7,102.4,66.4,-.027,0.32,-0.02,102.7,102.8,2.77,CAA,2002
San Francisco,102.9,102.7,67.8,-.027,0.21,0.62,103.9,103.3,0.56,WCC,2002
Troy,104.2,104.1,69.1,.044,0.15,-4.96,102.6,107.6,1.40,ASun,2002
E Washington,100.2,100.2,68.9,.053,-0.02,-0.92,103.3,104.2,6.97,BSky,2002
Cal Poly SLO,102.5,102.6,68.3,.006,-0.06,-1.98,101.8,103.8,-4.26,BW,2002
UT San Antonio,103.0,103.2,72.2,.001,-0.18,-6.45,99.1,105.5,-0.45,Slnd,2002
North Texas,108.1,108.3,72.0,.012,-0.21,0.69,103.3,102.6,2.42,SB,2002
Holy Cross,98.1,98.4,62.2,-.048,-0.24,-6.40,99.7,106.1,-3.38,Pat,2002
Missouri KC,101.2,101.5,60.7,.040,-0.33,-4.31,102.8,107.1,-7.23,MCon,2002
Old Dominion,102.5,102.9,64.8,-.072,-0.43,-2.11,102.0,104.1,-3.79,CAA,2002
Southern Miss,97.7,98.1,64.3,-.052,-0.45,4.29,105.6,101.3,-2.52,CUSA,2002
Marshall,110.0,110.5,69.6,.037,-0.55,1.70,105.2,103.5,1.60,MAC,2002
UTRGV,101.1,101.7,71.7,.051,-0.62,-3.70,102.7,106.4,-1.04,ind,2002
Morehead St,105.5,106.4,68.1,.072,-0.91,-3.35,103.3,106.7,4.35,OVC,2002
IUPUI,102.3,103.3,69.4,-.014,-0.96,-0.16,104.5,104.6,1.61,MCon,2002
DePaul,100.4,101.4,71.3,-.043,-0.96,6.90,107.3,100.4,-0.92,CUSA,2002
Furman,100.2,101.2,65.8,.021,-1.01,-0.35,103.1,103.5,-1.90,SC,2002
New Orleans,98.4,99.5,68.0,.042,-1.15,-0.93,102.4,103.3,-0.64,SB,2002
James Madison,106.4,107.6,65.8,-.036,-1.21,-2.91,100.2,103.1,-7.07,CAA,2002
Siena,100.8,102.0,66.5,-.070,-1.21,-4.14,100.3,104.4,-0.42,MAAC,2002
Drake,107.1,108.5,64.5,.030,-1.41,-0.17,103.8,103.9,-1.52,MVC,2002
Drexel,104.4,105.9,70.4,.016,-1.45,-1.40,102.2,103.6,-1.04,CAA,2002
Long Beach St,102.9,104.4,70.2,-.021,-1.48,0.75,103.9,103.1,5.14,BW,2002
Northern Iowa,108.2,109.7,66.9,.055,-1.49,1.23,104.5,103.2,3.10,MVC,2002
Samford,102.5,104.0,56.8,.011,-1.49,-2.89,103.4,106.3,6.03,ASun,2002
Niagara,106.6,108.2,69.5,.024,-1.64,-4.33,99.8,104.2,-1.71,MAAC,2002
Air Force,103.8,105.5,54.2,-.015,-1.64,4.30,105.9,101.6,-0.75,MWC,2002
CS Northridge,98.7,100.4,69.8,-.011,-1.66,1.50,104.3,102.8,7.01,BW,2002
East Carolina,102.3,104.1,65.0,.037,-1.78,5.93,105.1,99.2,-0.66,CUSA,2002
Buffalo,99.6,101.4,67.7,-.034,-1.84,0.14,105.0,104.9,-3.46,MAC,2002
Jacksonville,98.7,100.7,66.7,-.021,-1.98,-5.92,101.6,107.5,-4.75,ASun,2002
N Illinois,105.6,107.6,72.1,-.007,-2.00,-0.24,105.0,105.3,-1.93,MAC,2002
ULM,99.9,101.9,70.1,.138,-2.00,-2.89,100.8,103.7,10.95,Slnd,2002
Boise St,98.2,100.4,65.2,.016,-2.21,2.30,104.6,102.3,-3.11,WAC,2002
UTEP,101.3,103.7,67.7,-.087,-2.36,2.72,105.4,102.7,1.06,WAC,2002
Vermont,105.8,108.2,68.1,.026,-2.41,-12.20,96.1,108.3,-7.00,AE,2002
FL Atlantic,99.6,102.1,70.2,.060,-2.50,-4.94,102.2,107.1,-4.52,ASun,2002
West Virginia,103.4,106.1,72.0,-.029,-2.62,7.12,106.5,99.3,-0.46,BE,2002
Cleveland St,97.6,100.3,68.7,-.035,-2.66,-1.20,104.0,105.2,-5.91,Horz,2002
Boston Univ,101.3,104.0,64.5,.102,-2.74,-9.18,97.7,106.9,0.25,AE,2002
Gardner Webb,101.4,104.3,73.6,.077,-2.84,-4.20,100.8,105.0,2.08,ind,2002
Radford,98.0,100.9,69.8,-.104,-2.88,-6.96,99.1,106.1,4.34,BSth,2002
Austin Peay,99.4,102.4,67.3,-.037,-2.98,0.02,104.6,104.6,10.17,OVC,2002
Penn St,99.3,102.4,67.7,-.032,-3.16,8.23,108.3,100.0,-2.03,B10,2002
Wagner,103.1,106.2,73.3,.017,-3.17,-10.18,97.9,108.1,0.12,NEC,2002
G Washington,102.7,105.9,70.7,.089,-3.19,3.96,105.5,101.6,1.81,A10,2002
Sam Houston St,100.2,103.4,72.7,-.042,-3.21,-5.09,100.0,105.1,4.35,Slnd,2002
MTSU,96.8,100.2,66.1,.040,-3.38,-0.91,102.9,103.8,-2.79,SB,2002
Rice,98.0,101.4,67.7,-.051,-3.43,0.85,103.8,102.9,-4.17,WAC,2002
C Michigan,101.6,105.1,67.9,-.062,-3.52,2.61,106.4,103.8,7.45,MAC,2002
Brown,105.9,109.6,72.7,.058,-3.69,-6.99,98.5,105.5,-8.54,Ivy,2002
American Univ,101.0,105.1,62.9,.057,-4.01,-7.70,98.5,106.2,-3.16,Pat,2002
WI Green Bay,105.3,109.6,62.3,-.118,-4.25,-0.25,103.8,104.1,-6.02,Horz,2002
Fairfield,99.1,103.4,71.9,-.055,-4.30,-3.99,100.0,104.0,-2.28,MAAC,2002
Centenary,101.4,105.8,65.6,-.031,-4.40,-3.27,101.6,104.9,-0.16,ind,2002
Montana,102.4,106.9,68.5,.053,-4.51,-1.95,103.4,105.4,0.44,BSky,2002
Santa Clara,101.1,105.6,66.3,.069,-4.55,-0.04,103.5,103.6,-0.22,WCC,2002
Bradley,95.3,99.9,63.3,-.046,-4.59,0.99,104.8,103.9,0.92,MVC,2002
Texas A&M,97.4,102.2,68.2,.011,-4.73,7.73,108.5,100.8,-0.61,B12,2002
Fordham,99.3,104.1,74.7,.022,-4.78,4.74,105.9,101.1,4.37,A10,2002
Southern Utah,100.4,105.2,63.5,-.037,-4.82,-0.29,103.7,104.0,3.18,MCon,2002
Washington St,104.3,109.3,69.8,-.088,-4.94,9.36,108.9,99.5,-7.28,P10,2002
Belmont,108.8,113.8,65.2,-.025,-5.00,-2.66,102.8,105.4,8.70,ASun,2002
Iona,98.5,103.6,70.9,-.018,-5.07,-3.90,100.7,104.6,-1.38,MAAC,2002
Winthrop,97.3,102.6,65.9,.038,-5.31,-10.73,97.2,107.9,-0.98,BSth,2002
Northern Arizona,96.3,101.7,67.3,.026,-5.36,-3.68,102.6,106.3,-0.77,BSky,2002
Hofstra,94.8,100.3,70.8,.027,-5.44,-0.06,102.3,102.4,2.51,CAA,2002
William & Mary,96.6,102.2,65.4,-.029,-5.62,0.44,103.9,103.4,4.55,CAA,2002
Colgate,101.8,107.4,66.9,.043,-5.62,-8.56,98.3,106.9,-6.21,Pat,2002
Howard,101.8,107.5,70.0,.030,-5.68,-10.16,97.5,107.7,-3.21,MEAC,2002
Duquesne,99.3,105.1,66.5,.001,-5.85,4.83,106.7,101.8,2.78,A10,2002
St Mary's CA,91.3,97.1,65.2,-.043,-5.85,1.09,104.6,103.5,1.02,WCC,2002
Akron,105.2,111.2,65.6,-.026,-5.94,1.27,105.4,104.2,-1.37,MAC,2002
Indiana St,98.4,104.5,64.1,-.042,-6.13,2.20,105.8,103.6,5.52,MVC,2002
Appalachian St,102.1,108.3,72.6,-.006,-6.25,0.93,103.3,102.4,2.60,SC,2002
Texas St,100.2,106.5,70.5,-.038,-6.26,-4.56,100.2,104.8,4.68,Slnd,2002
Monmouth NJ,96.6,103.0,65.7,.097,-6.33,-8.73,99.6,108.3,6.88,NEC,2002
W Carolina,100.0,106.4,71.6,-.005,-6.37,-1.52,102.4,104.0,-4.35,SC,2002
E Illinois,102.2,108.6,70.6,.056,-6.39,-1.26,104.1,105.3,5.34,OVC,2002
Florida Intl,96.4,103.0,64.4,-.011,-6.56,-0.59,103.2,103.8,-3.02,SB,2002
Harvard,94.4,101.1,67.5,.057,-6.73,-7.11,99.4,106.5,-9.57,Ivy,2002
Tennessee St,103.2,110.0,72.7,-.034,-6.77,-2.01,103.7,105.7,4.11,OVC,2002
Rhode Island,97.6,104.4,64.7,.061,-6.80,5.03,106.9,101.8,3.63,A10,2002
Lafayette,102.7,109.6,70.3,.009,-6.83,-7.05,98.4,105.5,-3.06,Pat,2002
Columbia,91.2,98.1,59.3,-.035,-6.93,-3.96,101.3,105.2,-2.57,Ivy,2002
Northwestern LA,100.5,107.6,70.6,-.006,-7.13,-3.63,100.6,104.3,5.50,Slnd,2002
VMI,99.3,106.5,77.7,.015,-7.23,2.14,103.9,101.8,8.63,SC,2002
Delaware St,99.6,106.9,62.8,.010,-7.34,-9.99,97.3,107.3,-2.50,MEAC,2002
UMBC,96.1,103.4,70.6,.062,-7.37,-12.91,96.4,109.3,-5.92,NEC,2002
Wofford,94.1,101.8,67.3,.015,-7.70,2.75,104.5,101.7,8.52,SC,2002
Jacksonville St,101.5,109.4,66.2,-.027,-7.92,-7.24,99.7,107.0,-17.63,ASun,2002
TN Martin,99.4,107.3,71.3,.077,-7.93,-2.88,102.9,105.8,2.49,OVC,2002
Lamar,98.4,106.4,69.6,.063,-8.02,-6.68,98.7,105.4,-4.35,Slnd,2002
TAM C. Christi,101.3,109.3,73.5,-.009,-8.08,-5.00,100.0,105.0,-0.84,ind,2002
Portland St,104.6,112.7,69.1,.083,-8.10,-0.79,103.1,103.9,4.81,BSky,2002
UT Arlington,102.2,110.6,72.1,.007,-8.37,-4.92,99.8,104.7,3.65,Slnd,2002
San Jose St,98.7,107.1,63.2,.050,-8.43,2.40,104.1,101.7,-4.30,WAC,2002
Alcorn St,100.1,108.8,73.0,.097,-8.71,-14.53,95.3,109.8,2.60,SWAC,2002
UC Riverside,99.0,107.9,67.3,-.020,-8.86,0.71,103.5,102.8,4.39,BW,2002
St Francis NY,100.4,109.4,73.6,.031,-8.96,-13.23,96.4,109.7,-7.89,NEC,2002
South Alabama,96.0,105.0,66.8,-.117,-9.00,-0.08,102.3,102.4,0.65,SB,2002
Denver,99.0,108.1,66.0,-.085,-9.06,-1.06,102.3,103.3,-4.22,SB,2002
Canisius,96.5,105.6,66.2,-.058,-9.09,-4.75,99.9,104.6,-1.46,MAAC,2002
Portland,97.3,106.4,73.1,-.027,-9.16,0.26,103.5,103.2,-1.86,WCC,2002
Quinnipiac,100.8,110.1,74.5,-.045,-9.27,-11.13,97.1,108.3,-5.05,NEC,2002
W Illinois,102.5,111.8,68.7,.015,-9.31,-4.25,101.9,106.2,-8.54,MCon,2002
SF Austin,93.9,103.3,63.1,.015,-9.40,-6.55,99.4,105.9,-3.10,Slnd,2002
Alabama A&M,92.2,101.7,79.0,.002,-9.53,-18.64,92.8,111.5,-15.03,SWAC,2002
UNC Asheville,98.9,108.6,68.5,.051,-9.70,-7.14,98.6,105.8,4.52,BSth,2002
Loy Marymount,99.1,109.0,68.8,.014,-9.86,-0.21,103.7,103.9,-3.25,WCC,2002
Evansville,98.0,107.9,69.2,.004,-9.89,0.88,105.5,104.6,0.17,MVC,2002
S Carolina St,96.2,106.7,68.1,.109,-10.49,-7.00,99.9,106.9,6.43,MEAC,2002
Idaho St,96.6,107.3,69.0,.015,-10.74,-4.08,101.7,105.8,-3.26,BSky,2002
Stetson,98.1,109.1,72.3,.055,-11.01,-3.42,103.1,106.5,8.97,ASun,2002
Bucknell,94.5,105.8,65.5,.060,-11.27,-7.64,97.8,105.4,-5.12,Pat,2002
Navy,94.1,105.6,70.8,-.089,-11.52,-6.30,100.2,106.4,-3.27,Pat,2002
NC A&T,92.8,104.7,70.4,.024,-11.86,-7.02,99.7,106.7,7.00,MEAC,2002
Alabama St,90.1,102.7,63.1,.081,-12.62,-14.95,95.8,110.8,-5.12,SWAC,2002
SE Missouri St,101.4,114.0,67.4,-.117,-12.66,-2.79,103.2,106.0,-0.89,OVC,2002
Hartford,91.9,104.7,65.5,.050,-12.84,-8.88,98.3,107.1,-2.44,AE,2002
Towson,90.4,103.3,66.7,.113,-12.90,-2.34,101.1,103.4,-5.99,CAA,2002
CS Sacramento,96.6,109.6,73.3,-.076,-13.03,-6.94,99.6,106.6,-10.20,BSky,2002
Idaho,92.3,105.7,59.3,.062,-13.40,-1.26,102.6,103.8,-4.42,BW,2002
Charleston So,90.7,104.2,67.3,.016,-13.46,-6.83,98.8,105.6,7.77,BSth,2002
Northeastern,98.1,111.6,72.3,-.129,-13.50,-9.17,97.2,106.4,-3.23,AE,2002
Florida A&M,93.8,107.3,69.4,-.019,-13.50,-6.80,98.8,105.6,11.52,MEAC,2002
